state,null_count,total_count,null_fraction
0,4965,4974,0.9981905910735827
1,4976,4989,0.9973942673882542
2,4975,4985,0.9979939819458375
3,5011,5022,0.9978096375945839
4,5030,5047,0.9966316623736874
5,4979,4991,0.9975956722099779
6,4990,5012,0.9956105347166799
7,4888,4901,0.9973474801061007
8,4932,4947,0.9969678593086719
9,5091,5107,0.9968670452320345
10,4914,4927,0.9973614775725593
11,4248,5073,0.8373743347131875
12,26,5026,0.005173099880620772
13,9,5130,0.0017543859649122807
14,4,4957,0.0008069396812588259
15,15,4956,0.003026634382566586
16,4013,4993,0.8037252153014219
17,4997,5003,0.998800719568259
18,4868,4881,0.9973366113501332
19,5061,5079,0.9964559952746603
