state,null_count,total_count,null_fraction
0,5019,5032,0.9974165341812401
1,4978,4990,0.9975951903807615
2,4999,5014,0.9970083765456721
3,4861,4872,0.9977422003284072
4,4991,5004,0.9974020783373302
5,4956,4975,0.9961809045226131
6,4942,4961,0.9961701269905261
7,4943,4965,0.9955689828801612
8,4961,4980,0.9961847389558233
9,4959,4987,0.9943854020453178
10,5044,5067,0.9954608249457273
11,5147,5164,0.9967079783113865
12,5000,5022,0.9956192751891677
13,5071,5083,0.9976391894550463
14,5018,5042,0.9952399841332804
15,4881,4894,0.9973436861463016
16,4922,4939,0.9965580076938652
17,5054,5067,0.9974343793171502
18,4923,4935,0.9975683890577508
19,4991,5007,0.9968044737367685
