state,null_count,total_count,null_fraction
0,5076,5087,0.9978376253194418
1,4973,4986,0.9973926995587645
2,5016,5029,0.9974149930403658
3,4941,4954,0.9973758578926121
4,4919,4937,0.9963540611707514
5,5051,5068,0.9966456195737964
6,4942,4962,0.9959693671906489
7,4985,4996,0.9977982385908727
8,5034,5054,0.9960427384250099
9,4927,4952,0.994951534733441
10,5049,5068,0.9962509865824783
11,5031,5052,0.9958432304038005
12,5006,5020,0.997211155378486
13,4879,4896,0.9965277777777778
14,4858,4873,0.9969218140775703
15,5078,5089,0.9978384751424642
16,5084,5100,0.9968627450980392
17,4916,4936,0.9959481361426256
18,4900,4911,0.9977601303196905
19,5015,5030,0.9970178926441352
