state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,5052,5088,0.9929245283018868,0.00045016764902911134,0.0013240554642401823,0.9982257768867306,2.0453646204058426e-10,1.0289374054121623e-10
1,4974,4994,0.9959951942330797,0.00042259668015880923,0.00033357223365574034,0.9992438310861855,4.949277353080804e-10,6.430858783826014e-10
2,4683,5006,0.935477427087495,0.0006023813525132302,0.1108610049058501,0.8885366137416366,1.113587404443181e-09,2.099872255943188e-10
3,13,4980,0.0026104417670682733,4.474664052138439e-09,0.999998173441771,1.822083564970776e-06,4.949277353080804e-10,1.6077146959565035e-10
4,6,4950,0.0012121212121212121,3.4466694008492844e-09,0.9999998622751952,1.3427813534721232e-07,2.5055716599971574e-09,2.5723435135304056e-09
5,1,5044,0.00019825535289452815,9.636543410630446e-09,0.9999999547879699,3.5575486753575615e-08,4.008914655995452e-10,1.1432637837912913e-09
6,2,4956,0.0004035512510088781,3.8479051614139306e-09,0.9999999793465734,1.6805521466456638e-08,4.008914655995452e-10,1.0289374054121622e-08
7,0,4854,0.0,1.1851235670986352e-09,0.9999999862480631,1.2566813349970088e-08,2.372138849701451e-10,0.9999991339708966
8,3,5083,0.0005902026362384419,2.3423108350234225e-09,0.9999999811068181,1.655087107941216e-08,4.949277353080804e-10,2.5723435135304056e-09
9,0,4910,0.0,4.485950955235492e-07,0.9999995157970142,3.560789026202195e-08,2.5055716599971574e-09,8.334392983838515e-07
10,2,5047,0.00039627501486031304,0.0008507359608262673,0.9991491306235445,1.3341562919479586e-07,2.5055716599971574e-09,2.5723435135304056e-09
11,9,4971,0.0018105009052504525,0.49144508829608896,0.5085541019709261,8.097329849091922e-07,4.949277353080804e-10,2.5723435135304056e-09
12,3,4940,0.0006072874493927126,0.999077360797875,0.0009225058356311507,1.3336649384741238e-07,2.5055716599971574e-09,1.6462998486594597e-09
13,0,5022,0.0,0.9999997631596581,2.0208020302686173e-07,3.4760138880333153e-08,2.5055716599971574e-09,1.1432637837912913e-09
14,2,5123,0.00039039625219597894,0.9999999767169693,7.2485944355175455e-09,1.603443622820051e-08,1.6035658623981809e-09,5.08117237240574e-10
15,5,4981,0.001003814495081309,0.9999999859390725,1.997460433719692e-09,1.2063467030652076e-08,0.9999999456360354,8.399489023772752e-10
16,8,5078,0.0015754233950374162,0.9999999828233521,8.506689925076613e-10,1.6325978790613846e-08,2.0453646204058426e-10,1.8292220540660663e-10
17,7,4876,0.001435602953240361,0.9999999628769504,1.3147719977590732e-09,3.5808277583498827e-08,1.7817398471090897e-10,2.5723435135304056e-09
18,3,5069,0.0005918327086210298,0.9999998584370774,7.527503357129191e-09,1.3403541928157496e-07,3.523460146871003e-08,2.5723435135304056e-09
19,5,5028,0.000994431185361973,0.9999983199695909,8.988495822339828e-08,1.5901454509722097e-06,2.7839685111079527e-10,2.858159459478228e-10
