state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,24,5042,0.004760015866719556,3.59089114847966e-08,0.999998327991309,1.6360997795260452e-06,2.198938891715902e-10,5.439798832317696e-10
1,12,4987,0.00240625626629236,3.6499802302540617e-09,0.9999998593532259,1.3699679387904985e-07,2.198938891715902e-10,4.895818949085927e-09
2,8,4915,0.0016276703967446592,4.69984363824448e-09,0.9999999581236588,3.7176497529082313e-08,1.1972000632675467e-09,2.607240860459961e-10
3,1,4797,0.00020846362309776944,6.9554438991700815e-09,0.9999999758398841,1.7204671988084227e-08,1.1972000632675467e-09,3.373525244604522e-08
4,3,4976,0.0006028938906752412,2.8164897034876507e-08,0.9999999594514777,1.2383625310760973e-08,2.6937001423519802e-09,0.9999999278859042
5,2,5105,0.0003917727717923604,2.886934673560523e-05,0.9999711141957107,1.6457553724474967e-08,2.6937001423519802e-09,1.3941609429232973e-08
6,3,4902,0.0006119951040391676,0.008301265566942743,0.9916986945722441,3.986081309294246e-08,8.795755566863608e-10,2.753898158860834e-09
7,6,5032,0.0011923688394276629,0.4859525721582198,0.5140473138227721,1.1401900809853684e-07,2.5502486554811647e-10,2.753898158860834e-09
8,6,4950,0.0012121212121212121,0.9903756668209609,0.009624292946639499,4.0232399587156255e-08,6.734250355879951e-10,6.884745397152085e-10
9,7,5066,0.0013817607579944729,0.999967288381405,3.269511994318148e-05,1.649865180629316e-08,1.1972000632675467e-09,6.884745397152085e-10
10,6,4996,0.0012009607686148918,0.9999999853613637,2.520129734827981e-09,1.2118506610930934e-08,0.999999964416884,8.992320518729253e-10
11,1,5041,0.00019837333862328903,0.9999999819785137,1.8315284700187987e-09,1.618995782462784e-08,8.795755566863608e-10,4.4062370541773343e-10
12,0,5069,0.0,0.9999999602707498,5.146314379588597e-09,3.4582935849647806e-08,2.6937001423519802e-09,6.884745397152085e-10
13,10,5095,0.001962708537782139,0.9999998609015937,9.554726348093117e-09,1.2954368001921326e-07,4.788800253070187e-09,2.753898158860834e-09
14,20,4994,0.004004805766920304,0.9999982554206138,8.556824703938371e-09,1.7360225614397524e-06,6.734250355879951e-10,2.753898158860834e-09
15,4654,4999,0.9309861972394479,0.05138487551070829,0.0009670343350740772,0.9476480901542176,1.0774800569407921e-08,6.884745397152085e-10
16,4979,5001,0.9956008798240352,0.0003592035423823353,0.0006340322475318738,0.9990067642100858,8.795755566863608e-10,4.4062370541773343e-10
17,4952,4981,0.9941778759285284,0.0012317405774435117,0.0003770750254371875,0.9983911843971193,2.6937001423519802e-09,1.7211863492880212e-10
18,5023,5047,0.9952446998216763,0.0010140331386022463,0.0003151531019831082,0.9986708137594147,6.734250355879951e-10,2.753898158860834e-09
19,4976,5005,0.9942057942057942,0.001005582952557758,0.0005240802139116694,0.9984703368335305,2.9930001581688667e-10,2.607240860459961e-10
