state,null_count,total_count,null_fraction
0,4976,4986,0.9979943842759728
1,4979,4989,0.997995590298657
2,5010,5022,0.997610513739546
3,4864,4874,0.9979482970865818
4,5122,5130,0.9984405458089669
5,5066,5079,0.9974404410316992
6,4936,4947,0.9977764301596928
7,4909,4926,0.9965489240763297
8,5054,5075,0.9958620689655172
9,4901,4918,0.9965433102887352
10,5015,5030,0.9970178926441352
11,5008,5025,0.9966169154228856
12,4941,4961,0.9959685547268696
13,4944,4958,0.9971762807583703
14,4941,4953,0.9975772259236826
15,5059,5070,0.9978303747534517
16,4955,4966,0.9977849375755135
17,4961,4969,0.9983900181122962
18,5109,5118,0.9982415005861665
19,4989,5004,0.9970023980815348
