state,null_count,total_count,null_fraction
0,4869,4881,0.9975414874001229
1,4905,4915,0.9979654120040692
2,5005,5020,0.9970119521912351
3,4999,5011,0.9976052684094991
4,4934,4950,0.9967676767676767
5,4995,5005,0.998001998001998
6,5065,5079,0.9972435518802913
7,4877,4894,0.996526358806702
8,4971,4984,0.9973916532905297
9,5020,5035,0.997020854021847
10,5068,5085,0.9966568338249754
11,4914,4935,0.9957446808510638
12,5072,5081,0.9982286951387522
13,5028,5044,0.9968279143536876
14,5039,5047,0.9984148999405588
15,4873,4888,0.9969312602291326
16,4983,4993,0.9979971960745043
17,5047,5054,0.9986149584487535
18,5039,5048,0.998217115689382
19,5040,5051,0.9978222134230845
