state,null_count,total_count,null_fraction
0,4992,5006,0.9972033559728326
1,4965,4977,0.997588908981314
2,5048,5057,0.9982202887087206
3,5100,5115,0.9970674486803519
4,5023,5036,0.9974185861795075
5,5009,5021,0.9976100378410675
6,5025,5034,0.9982121573301549
7,5026,5042,0.9968266560888537
8,4910,4924,0.9971567831031681
9,4894,4912,0.9963355048859935
10,5050,5064,0.9972353870458136
11,5034,5050,0.9968316831683168
12,5005,5021,0.99681338378809
13,4920,4936,0.9967585089141004
14,4930,4944,0.997168284789644
15,4949,4958,0.9981847519160952
16,5044,5058,0.9972321075523922
17,4961,4974,0.9973864093285082
18,4768,4775,0.9985340314136125
19,5084,5096,0.9976452119309263
