state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,4910,4929,0.9961452627307771,0.0006753958142733423,0.0005387608554147762,0.998785843330312,1.9054036811894718e-10,4.67744791304485e-10
1,4937,4955,0.9963673057517659,0.0005777149387332548,0.0003981168873707042,0.999024168173896,2.1272146472802356e-10,5.5073757146097106e-11
2,5036,5050,0.9972277227722772,0.000796102478561353,0.00048098057512140644,0.9987229169463173,2.1272146472802366e-10,9.167797909567908e-10
3,5010,5034,0.9952324195470799,0.0009122193646168827,0.0004883716525037038,0.9985994089828795,4.610606438433782e-10,3.8656594322684723e-10
4,5085,5107,0.9956921871940474,0.0007725644953749645,0.0005027549176024337,0.9987246805870226,7.621614724757887e-10,4.185444626354962e-10
5,4973,5003,0.9940035978412952,0.0005788593513328531,0.0007156780392246872,0.9987054626094425,1.4588246934106891e-10,6.584169713852278e-10
6,126,5063,0.024886430969780764,0.9999978745863325,6.209010163583605e-09,2.1192046573336554e-06,3.387384322114617e-10,4.546616697861491e-10
7,91,4984,0.018258426966292134,0.9999999024602073,1.9602715506358173e-09,9.55795212638443e-08,3.308150003714981e-10,3.5811710584249646e-10
8,70,4944,0.014158576051779935,0.9999999747685465,1.8474653767662637e-09,2.3383988007326807e-08,1.5714256263537635e-09,4.4211988375616843e-10
9,74,5011,0.014767511474755537,0.9999599630901105,4.002204576055107e-05,1.486412888333661e-08,0.9999999925271315,2.649958928652997e-10
10,64,4924,0.012997562956945572,0.9898424027769007,0.010157570588593973,2.6634505344728732e-08,2.705000427437838e-10,3.7671753408809613e-10
11,81,4972,0.016291230893000806,0.4565080543753368,0.5434918722487901,7.337587300565173e-08,5.657132254873547e-10,5.261592005032088e-10
12,64,4934,0.012971220105391163,0.006710340197818804,0.9932896341106572,2.5691524132646335e-08,2.9507881205976203e-10,3.8656594322684723e-10
13,53,4970,0.010663983903420523,2.3538445999649556e-05,0.9999764467489315,1.4805068858289388e-08,3.928564065884406e-10,0.9999999926642743
14,49,4963,0.009873060648801129,9.757193270107282e-10,0.9999999759136738,2.3110606799223292e-08,2.1272146472802366e-10,5.962407589469244e-10
15,79,5115,0.015444770283479962,1.0521364003858338e-09,0.9999999066597912,9.228807243645676e-08,7.621614724757887e-10,3.1722484116151933e-10
16,120,5048,0.02377179080824089,5.243592959690267e-09,0.9999980138599269,1.9808964801454215e-06,1.331108474985561e-10,2.3864530168596185e-10
17,5051,5066,0.9970390840900119,0.0008914068487642917,0.0006044236794832725,0.9985041694717524,2.4886905223699225e-10,7.23377565140758e-11
18,4968,4991,0.9953917050691244,0.00044821605475523353,0.0005518235518127037,0.9989999603934322,2.8862919667722175e-10,3.248227717392259e-10
19,4910,4937,0.9945310917561272,0.0005301760299504996,0.0012379136430148026,0.9982319103270347,7.716097551924306e-11,7.399113757076371e-11
