state,null_count,total_count,null_fraction
0,159,164,0.9695121951219512
1,132,136,0.9705882352941176
2,135,144,0.9375
3,143,152,0.9407894736842105
4,155,160,0.96875
5,131,142,0.9225352112676056
6,32,153,0.20915032679738563
7,20,149,0.1342281879194631
8,10,160,0.0625
9,0,139,0.0
10,5,147,0.034013605442176874
11,4,149,0.026845637583892617
12,7,157,0.044585987261146494
13,7,156,0.04487179487179487
14,22,154,0.14285714285714285
15,116,130,0.8923076923076924
16,136,148,0.918918918918919
17,148,161,0.9192546583850931
18,124,132,0.9393939393939394
19,159,167,0.9520958083832335
