state,null_count,total_count,null_fraction
0,138,148,0.9324324324324325
1,132,137,0.9635036496350365
2,161,167,0.9640718562874252
3,44,141,0.3120567375886525
4,16,134,0.11940298507462686
5,8,143,0.055944055944055944
6,8,158,0.05063291139240506
7,0,139,0.0
8,2,162,0.012345679012345678
9,4,164,0.024390243902439025
10,4,150,0.02666666666666667
11,2,158,0.012658227848101266
12,3,144,0.020833333333333332
13,5,150,0.03333333333333333
14,6,158,0.0379746835443038
15,10,139,0.07194244604316546
16,19,143,0.13286713286713286
17,50,136,0.36764705882352944
18,150,159,0.9433962264150944
19,162,170,0.9529411764705882
