state,null_count,total_count,null_fraction
0,134,142,0.9436619718309859
1,133,136,0.9779411764705882
2,135,140,0.9642857142857143
3,143,147,0.9727891156462585
4,140,145,0.9655172413793104
5,138,154,0.8961038961038961
6,28,156,0.1794871794871795
7,10,135,0.07407407407407407
8,10,166,0.060240963855421686
9,7,157,0.044585987261146494
10,4,170,0.023529411764705882
11,1,144,0.006944444444444444
12,3,150,0.02
13,10,153,0.06535947712418301
14,23,150,0.15333333333333332
15,144,156,0.9230769230769231
16,140,149,0.9395973154362416
17,134,141,0.950354609929078
18,150,154,0.974025974025974
19,149,155,0.9612903225806452
