state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,5084,5114,0.9941337504888541,0.0007439058076722139,0.00047232781366221305,0.9987837663786656,2.302075001624716e-10,1.6344352278082043e-09
1,5056,5072,0.9968454258675079,0.0007316848460640099,0.0004978115291547528,0.9987705036247813,1.2027167355427086e-09,4.862782495958293e-10
2,4857,4879,0.9954908792785406,0.0012009023987850102,0.0006680104383737676,0.9981310871628412,1.6370311122664648e-09,5.883966820109534e-10
3,4952,4965,0.9973816717019134,0.0005549477692697049,0.000954760056088032,0.9984902921746424,3.4871668663664336e-10,5.883966820109534e-10
4,5072,5092,0.9960722702278083,3.590563307114922e-05,0.0012977407292286455,0.9986663536377003,9.208300006498864e-10,5.883966820109534e-10
5,3105,5020,0.6185258964143426,0.2608585893485042,0.0019694202783928443,0.7371719903731031,1.4733280010398182e-08,1.2008095551243946e-09
6,12,5061,0.0023710729104919974,0.999999580006906,4.89389602284533e-09,4.1509919803352827e-07,4.329780247953751e-10,1.2008095551243946e-09
7,10,5066,0.0019739439399921043,0.9999999431333534,3.188658993207578e-09,5.3677987594328666e-08,4.5882186883592964e-10,3.6672923394034497e-10
8,3,5026,0.0005968961400716276,0.999993773399816,6.207294676043702e-06,1.9305507899399458e-08,1.8352874753437177e-09,6.754553747574722e-10
9,6,4933,0.001216298398540442,0.9985979946544875,0.0014019909758359957,1.4369676469534025e-08,0.9999998897360118,3.150249933431637e-10
10,0,4931,0.0,0.8871699801868704,0.11282999393135049,2.5881779087581138e-08,8.287470005848979e-09,8.274328340779037e-09
11,2,4988,0.00040096230954290296,0.10854064006358895,0.891459334627323,2.530908810859892e-08,6.873959121651374e-08,1.0010529561623027e-09
12,1,5038,0.0001984914648670107,0.0013782133294790147,0.9986217726158806,1.4054640454982787e-08,5.303980803743345e-09,0.9999999342424832
13,5,4955,0.0010090817356205853,7.6080582659649626e-06,0.9999923724462734,1.9495460679267045e-08,5.179668753655612e-10,3.4816371716624465e-10
14,18,4899,0.003674219228413962,6.575238326996451e-09,0.9999999373346469,5.6090114894378083e-08,2.7061126549710952e-09,5.295570138098581e-09
15,30,5034,0.0059594755661501785,3.888814699738374e-09,0.9999995590834513,4.3702773398809705e-07,4.329780247953751e-10,4.1517269882692886e-08
16,3033,4902,0.6187270501835985,0.0012736317243612447,0.29567888469146764,0.7030474835841711,1.2027167355427086e-09,3.4816371716624465e-10
17,4984,5005,0.9958041958041958,0.0009278802647811254,3.662273998173708e-05,0.9990354969952372,3.155253303833043e-10,7.833683636240506e-10
18,4895,4918,0.9953233021553477,0.0006094626116202459,0.00046177628495248446,0.9989287611034273,7.2756938322954e-10,2.2984245391052867e-10
19,5070,5102,0.9937279498235986,0.0007349871771403551,0.0011564880920989745,0.9981085247307607,2.302075001624716e-10,3.150249933431637e-10
