state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,4972,4998,0.994797919167667,0.000883740341696204,3.96012366076407e-05,0.9990766584216962,4.449445392862362e-10,9.516491172542239e-11
1,3185,5029,0.6333267051103599,0.0007065454141843122,0.3869355604973867,0.6123578940884289,3.0898926339321967e-10,2.0768169010325913e-10
2,51,4940,0.010323886639676113,2.1918046065052143e-09,0.9999995577958007,4.40012394701624e-07,4.004500853576127e-09,1.1137721663155392e-09
3,21,4920,0.00426829268292683,1.2656401851305716e-09,0.9999999433809676,5.5353392257542676e-08,1.0011252133940319e-09,2.3918605118376536e-10
4,12,5025,0.0023880597014925373,7.587624618997442e-10,0.999999980186125,1.905511247689852e-08,5.107781700989958e-10,2.643469770150622e-10
5,17,5055,0.0033630069238377845,7.795921700975525e-08,0.9999999088582482,1.3182534733845167e-08,5.923817830733916e-10,0.9999999897348328
6,13,4845,0.0026831785345717233,0.00036017016656492455,0.999639809670933,2.0162502035768544e-08,6.257032583712696e-09,5.947806982838898e-10
7,8,4996,0.0016012810248198558,0.08066357468430316,0.9193363644386513,6.08770455171222e-08,3.268980288633572e-10,9.117273288886843e-10
8,15,5040,0.002976190476190476,0.9116630146562885,0.08833692401745198,6.132625959299655e-08,6.257032583712704e-09,1.240962197654042e-09
9,27,5006,0.005393527766679984,0.9995746833941583,0.00042529675165345267,1.9854188107913874e-08,1.0011252133940317e-09,3.9264819535147427e-10
10,19,5036,0.003772835583796664,0.9999999279418782,5.891676708399268e-08,1.3141354806346498e-08,0.9999999736824686,4.183889199166594e-10
11,13,4980,0.0026104417670682733,0.9999999804026324,4.777462776781304e-10,1.9119621301349722e-08,3.910645364820435e-10,5.515387545129076e-10
12,14,5037,0.0027794322017073653,0.9999999431870228,2.350417864461573e-09,5.446255928240271e-08,2.0431126803959825e-09,4.183889199166594e-10
13,32,4944,0.006472491909385114,0.9999995716098118,2.5705986317500066e-09,4.258195897059112e-07,6.952258426347441e-10,3.692118935169051e-10
14,3150,5031,0.6261180679785331,0.3036122907272186,0.000750456015170188,0.6956372532576112,9.080500801759923e-10,1.240962197654042e-09
15,4989,5003,0.9972016789926045,3.722872121235726e-05,0.000661454044269941,0.9993013172345176,1.8128116132078432e-10,2.3918605118376536e-10
16,4980,5005,0.995004995004995,0.0004841931616290682,0.00041680871717169525,0.9990989981211993,4.761594356214181e-10,8.307267604130363e-10
17,5029,5056,0.9946598101265823,0.0008307246416205244,0.00033157754763442164,0.998837697810745,1.9775312857166055e-10,1.2821165562497121e-10
18,4997,5017,0.9960135539166832,0.0005816604644146424,0.0003391419385148042,0.9990791975970706,5.923817830733914e-10,3.102405494135105e-10
19,5011,5037,0.9948381973396864,0.0007615638289552335,0.00041457430203925945,0.9988238618690054,1.2769454252474896e-10,6.980412361803985e-10
