state,null_count,total_count,null_fraction
0,104,106,0.9811320754716981
1,96,98,0.9795918367346939
2,88,88,1.0
3,92,94,0.9787234042553191
4,99,102,0.9705882352941176
5,102,104,0.9807692307692307
6,85,88,0.9659090909090909
7,102,102,1.0
8,107,109,0.981651376146789
9,105,107,0.9813084112149533
10,95,97,0.979381443298969
11,88,90,0.9777777777777777
12,100,102,0.9803921568627451
13,102,103,0.9902912621359223
14,90,93,0.967741935483871
15,102,106,0.9622641509433962
16,104,107,0.9719626168224299
17,85,89,0.9550561797752809
18,82,83,0.9879518072289156
19,106,113,0.9380530973451328
20,99,101,0.9801980198019802
21,99,101,0.9801980198019802
22,83,84,0.9880952380952381
23,85,91,0.9340659340659341
24,135,136,0.9926470588235294
25,106,108,0.9814814814814815
26,98,99,0.98989898989899
27,98,100,0.98
28,103,103,1.0
29,93,96,0.96875
