state,null_count,total_count,null_fraction
0,96,98,0.9795918367346939
1,101,103,0.9805825242718447
2,91,91,1.0
3,100,102,0.9803921568627451
4,122,124,0.9838709677419355
5,97,99,0.9797979797979798
6,94,95,0.9894736842105263
7,83,84,0.9880952380952381
8,85,88,0.9659090909090909
9,91,94,0.9680851063829787
10,74,77,0.961038961038961
11,102,105,0.9714285714285714
12,95,98,0.9693877551020408
13,83,86,0.9651162790697675
14,105,110,0.9545454545454546
15,107,110,0.9727272727272728
16,118,120,0.9833333333333333
17,104,105,0.9904761904761905
18,74,79,0.9367088607594937
19,84,85,0.9882352941176471
20,104,105,0.9904761904761905
21,101,104,0.9711538461538461
22,121,124,0.9758064516129032
23,98,101,0.9702970297029703
24,113,115,0.9826086956521739
25,104,106,0.9811320754716981
26,91,93,0.978494623655914
27,96,97,0.9896907216494846
28,102,104,0.9807692307692307
29,95,98,0.9693877551020408
