state,null_count,total_count,null_fraction
0,101,104,0.9711538461538461
1,96,96,1.0
2,101,103,0.9805825242718447
3,89,91,0.978021978021978
4,124,126,0.9841269841269841
5,89,90,0.9888888888888889
6,112,114,0.9824561403508771
7,105,107,0.9813084112149533
8,100,102,0.9803921568627451
9,109,112,0.9732142857142857
10,92,100,0.92
11,91,95,0.9578947368421052
12,114,117,0.9743589743589743
13,86,91,0.945054945054945
14,83,87,0.9540229885057471
15,93,97,0.9587628865979382
16,113,116,0.9741379310344828
17,98,100,0.98
18,97,99,0.9797979797979798
19,99,102,0.9705882352941176
20,87,89,0.9775280898876404
21,86,88,0.9772727272727273
22,101,102,0.9901960784313726
23,83,85,0.9764705882352941
24,110,113,0.9734513274336283
25,98,98,1.0
26,67,70,0.9571428571428572
27,99,99,1.0
28,102,104,0.9807692307692307
29,102,103,0.9902912621359223
