state,null_count,total_count,null_fraction
0,107,110,0.9727272727272728
1,113,118,0.9576271186440678
2,106,107,0.9906542056074766
3,101,102,0.9901960784313726
4,89,90,0.9888888888888889
5,92,94,0.9787234042553191
6,90,91,0.989010989010989
7,81,84,0.9642857142857143
8,87,89,0.9775280898876404
9,107,110,0.9727272727272728
10,123,124,0.9919354838709677
11,82,86,0.9534883720930233
12,109,114,0.956140350877193
13,15,86,0.1744186046511628
14,8,86,0.09302325581395349
15,2,89,0.02247191011235955
16,2,89,0.02247191011235955
17,7,108,0.06481481481481481
18,98,107,0.9158878504672897
19,92,97,0.9484536082474226
20,96,98,0.9795918367346939
21,119,120,0.9916666666666667
22,94,96,0.9791666666666666
23,94,94,1.0
24,106,112,0.9464285714285714
25,90,92,0.9782608695652174
26,105,107,0.9813084112149533
27,91,92,0.9891304347826086
28,92,93,0.989247311827957
29,110,115,0.9565217391304348
