state,null_count,total_count,null_fraction
0,106,107,0.9906542056074766
1,77,78,0.9871794871794872
2,100,101,0.9900990099009901
3,97,98,0.9897959183673469
4,93,94,0.9893617021276596
5,89,92,0.967391304347826
6,93,94,0.9893617021276596
7,107,111,0.963963963963964
8,102,102,1.0
9,102,107,0.9532710280373832
10,103,105,0.9809523809523809
11,79,81,0.9753086419753086
12,98,99,0.98989898989899
13,96,99,0.9696969696969697
14,120,122,0.9836065573770492
15,104,107,0.9719626168224299
16,115,117,0.9829059829059829
17,104,108,0.9629629629629629
18,104,106,0.9811320754716981
19,92,96,0.9583333333333334
20,79,79,1.0
21,96,99,0.9696969696969697
22,91,94,0.9680851063829787
23,99,102,0.9705882352941176
24,106,108,0.9814814814814815
25,109,111,0.9819819819819819
26,97,97,1.0
27,95,97,0.979381443298969
28,83,83,1.0
29,98,106,0.9245283018867925
