state,null_count,total_count,null_fraction
0,163,168,0.9702380952380952
1,141,142,0.9929577464788732
2,142,146,0.9726027397260274
3,145,150,0.9666666666666667
4,136,146,0.9315068493150684
5,76,156,0.48717948717948717
6,4,135,0.02962962962962963
7,2,148,0.013513513513513514
8,3,156,0.019230769230769232
9,6,165,0.03636363636363636
10,11,156,0.07051282051282051
11,5,147,0.034013605442176874
12,6,176,0.03409090909090909
13,83,136,0.6102941176470589
14,158,173,0.9132947976878613
15,118,123,0.959349593495935
16,135,140,0.9642857142857143
17,146,148,0.9864864864864865
18,134,137,0.9781021897810219
19,148,152,0.9736842105263158
