state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,0,4,0.0,0.7575757575757573,0.12121212121212127,0.12121212121212127,0.006264562783707308,0.008090727537831183
1,0,0,0,0.7518759461626138,0.12406202691869314,0.12406202691869314,0.006264562783707308,0.008090727537831183
2,0,0,0,0.7351312957572813,0.13243435212135934,0.13243435212135934,0.018622362615063344,0.008090727537831183
3,0,0,0,0.7084649298020853,0.14576753509895737,0.14576753509895737,0.006264562783707308,0.008090727537831183
4,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.006264562783707308,0.008090727537831183
5,1,1,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.006264562783707308,0.008090727537831183
6,0,0,0,0.24401346108217378,0.5119730778356523,0.24401346108217378,0.006264562783707308,0.008090727537831183
7,0,0,0,0.2379658432324266,0.5240683135351468,0.2379658432324266,0.006264562783707308,0.008090727537831183
8,0,0,0,0.2341145289651611,0.5317709420696777,0.2341145289651611,0.006264562783707308,0.008090727537831183
9,0,1,0.0,0.23279179136383074,0.5344164172723387,0.23279179136383074,0.006264562783707308,0.008090727537831183
10,0,0,0,0.009593811203040115,0.9808123775939198,0.009593811203040115,0.006264562783707308,0.008090727537831183
11,0,0,0,0.11327872808958703,0.773442543820826,0.11327872808958703,0.006264562783707308,0.008090727537831183
12,0,0,0,0.21598509562013754,0.6864333710244278,0.09758153335543462,0.006264562783707308,0.008090727537831183
13,0,1,0.0,0.2733252994655934,0.609531261753023,0.11714343878138365,0.006264562783707308,0.008090727537831183
14,0,2,0.0,0.2805776707171174,0.6031565322205663,0.11626579706231625,0.006264562783707308,0.008090727537831183
15,0,2,0.0,0.28740895874946065,0.5948683317467603,0.11772270950377908,0.006264562783707308,0.008090727537831183
16,1,3,0.3333333333333333,0.2933902512726445,0.5850346735357209,0.12157507519163464,0.006264562783707308,0.008090727537831183
17,0,0,0,0.24889704482948125,0.6444291280829536,0.10667382708756501,0.048337675800210714,0.008090727537831183
18,0,0,0,0.5470564688618771,0.20578476812126237,0.24715876301686054,0.02658429862894033,0.008090727537831183
19,0,0,0,0.3521083868067359,0.29578322638652815,0.3521083868067359,0.006264562783707308,0.008090727537831183
20,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.006264562783707308,0.008090727537831183
