Generation 0:
Generation 1:(75, 2), (19, 1), (78, 2), (14, 1), (89, 2), (97, 2), (86, 2), (8, 1), (71, 2), (31, 1), (30, 1), (57, 2), (93, 2), (51, 2), (83, 2), (16, 1), (45, 1), (40, 1), (34, 1), (68, 2), (41, 1), (56, 2), (96, 2), (33, 1), (53, 2), (46, 1), (74, 2), (43, 1), (50, 2), (67, 2), (4, 1), (87, 2), (49, 1), (21, 1), (23, 1), (88, 2), (10, 1), (77, 2), (59, 2), (9, 1), 
Generation 2:(60, 2), (87, 2), (13, 1), (61, 2), (50, 2), (93, 2), (24, 1), (33, 1), (25, 1), (79, 2), (66, 2), (11, 1), (14, 1), (76, 2), (38, 1), (27, 1), (20, 1), (81, 2), (55, 2), (28, 1), (19, 1), (21, 1), (69, 2), (73, 2), (74, 2), (7, 1), (5, 1), (77, 2), (29, 1), (48, 1), (88, 2), (97, 2), (89, 2), (86, 2), (84, 2), (34, 1), (43, 1), (63, 2), (41, 1), (75, 2), 
Generation 3:(68, 2), (62, 2), (17, 1), (72, 2), (41, 1), (31, 1), (43, 1), (29, 1), (73, 2), (32, 1), (66, 2), (67, 2), (18, 1), (8, 1), (35, 1), (82, 2), (48, 1), (36, 1), (0, 1), (11, 1), (39, 1), (5, 1), (30, 1), (23, 1), (56, 2), (55, 2), (79, 2), (13, 1), (98, 2), (3, 1), (84, 2), (65, 2), (69, 2), (88, 2), (19, 1), (64, 2), (24, 1), (28, 1), (78, 2), (12, 1), 
Generation 4:(49, 1), (45, 1), (66, 2), (52, 2), (38, 1), (69, 2), (35, 1), (8, 1), (62, 2), (70, 2), (78, 2), (95, 2), (27, 1), (33, 1), (20, 1), (94, 2), (50, 1), (25, 1), (84, 2), (79, 2), (36, 1), (53, 2), (3, 1), (34, 1), (76, 2), (71, 2), (83, 2), (19, 1), (75, 2), (90, 2), (6, 1), (89, 2), (28, 1), (21, 1), (48, 1), (47, 1), (30, 1), (0, 1), (4, 1), (46, 1), 
Generation 5:(94, 2), (86, 2), (25, 1), (46, 1), (22, 1), (70, 2), (64, 2), (74, 2), (5, 1), (60, 2), (78, 2), (49, 1), (98, 2), (54, 2), (27, 1), (99, 2), (53, 2), (28, 1), (91, 2), (61, 2), (83, 2), (65, 2), (90, 2), (58, 2), (92, 2), (29, 1), (73, 2), (42, 1), (35, 1), (2, 1), (24, 1), (3, 1), (50, 1), (32, 1), (76, 2), (85, 2), (48, 1), (26, 1), (23, 1), (87, 2), 
Generation 6:(75, 2), (43, 1), (48, 1), (42, 1), (73, 2), (63, 2), (17, 1), (44, 1), (56, 2), (1, 1), (37, 1), (86, 2), (29, 1), (45, 1), (62, 2), (88, 2), (67, 2), (50, 1), (94, 2), (22, 1), (95, 2), (64, 2), (91, 2), (32, 1), (70, 2), (66, 2), (23, 1), (89, 2), (21, 1), (83, 2), (30, 1), (35, 1), (55, 2), (5, 1), (10, 1), (25, 1), (24, 1), (39, 1), (79, 2), (72, 2), 
Generation 7:(25, 1), (64, 2), (48, 1), (19, 1), (3, 1), (86, 2), (92, 2), (76, 2), (59, 2), (8, 1), (69, 2), (62, 2), (55, 2), (99, 2), (10, 1), (13, 1), (88, 2), (67, 2), (66, 2), (7, 1), (78, 2), (37, 1), (23, 1), (80, 2), (29, 1), (18, 1), (91, 2), (84, 2), (65, 2), (49, 1), (75, 2), (44, 1), (22, 1), (61, 2), (97, 2), (30, 1), (11, 1), (16, 1), (40, 1), (47, 1), 
Generation 8:(14, 1), (85, 2), (61, 2), (7, 1), (73, 2), (98, 2), (56, 2), (0, 1), (17, 1), (39, 1), (35, 1), (36, 1), (94, 2), (44, 1), (46, 1), (57, 2), (19, 1), (12, 1), (81, 2), (89, 2), (62, 2), (43, 1), (31, 1), (93, 2), (65, 2), (1, 1), (8, 1), (23, 1), (27, 1), (99, 2), (45, 1), (41, 1), (91, 2), (55, 2), (69, 2), (33, 1), (77, 2), (48, 1), (26, 1), (78, 2), 
Generation 9:(61, 2), (5, 1), (54, 2), (32, 1), (57, 2), (58, 2), (34, 1), (69, 2), (35, 1), (89, 2), (98, 2), (42, 1), (90, 2), (36, 1), (79, 2), (53, 2), (19, 1), (73, 2), (39, 1), (13, 1), (16, 1), (56, 2), (95, 2), (63, 2), (27, 1), (10, 1), (11, 1), (55, 2), (7, 1), (60, 2), (37, 1), (88, 2), (17, 1), (91, 2), (68, 2), (6, 1), (80, 2), (49, 1), (29, 1), (70, 2), 
Generation 10:(94, 2), (65, 2), (64, 2), (60, 2), (18, 1), (84, 2), (68, 2), (45, 1), (6, 1), (8, 1), (41, 1), (3, 1), (15, 1), (19, 1), (72, 2), (52, 2), (67, 2), (87, 2), (76, 2), (16, 1), (37, 1), (12, 1), (14, 1), (63, 2), (36, 1), (59, 2), (27, 1), (62, 2), (35, 1), (46, 1), (42, 1), (34, 1), (21, 1), (43, 1), (83, 2), (82, 2), (56, 2), (32, 1), (78, 2), (44, 1), 
