state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,4839,4871,0.9934305070827345,0.0011870861724263117,0.0010650434117876607,0.997747870415786,4.538854850914212e-10,4.095739260146812e-10
1,4924,4960,0.992741935483871,0.0009084621134285494,0.0007385531544775917,0.9983529847320939,2.904867104585096e-10,1.6382957040587247e-09
2,5056,5080,0.9952755905511811,0.0012390397402694843,0.0009674511555793621,0.9977935091041512,2.6143803941265866e-09,5.574756215199827e-10
3,4953,4993,0.9919887842980172,0.0004853241860014047,0.0009905135769916302,0.9985241622370069,6.535950985316467e-10,8.027648949887753e-10
4,4725,5070,0.9319526627218935,0.06059421626586608,0.0014493295072555783,0.9379564542268783,1.505883107016913e-08,5.574756215199827e-10
5,28,5003,0.0055966420147911256,0.9999972038568308,2.340463784225272e-08,2.772738531295939e-06,1.8155419403656848e-09,8.027648949887753e-10
6,4,5034,0.0007945967421533572,0.9999997717306931,2.0485936946516972e-08,2.0778336998293167e-07,1.3338675480237678e-09,5.574756215199827e-10
7,4,4998,0.0008003201280512205,0.9999999303284656,1.4190044660925534e-08,5.548148967660354e-08,2.6143803941265854e-09,1.2543201484199613e-09
8,1,4942,0.00020234722784297855,0.9999999683082332,7.059389114342273e-09,2.4632377624139205e-08,1.6732034522410154e-07,9.910677715910806e-10
9,2,5083,0.0003934684241589612,0.999996648184275,3.3375769690718185e-06,1.423875587169021e-08,1.2653601107572677e-08,3.211059579955101e-09
10,2,4953,0.0004037956793862306,0.9991633395823156,0.0008366484009174089,1.2016766973823436e-08,0.9999997628705126,3.2110595799551e-09
11,2,5012,0.0003990422984836393,0.9335360694549357,0.06646391142343046,1.912163378041656e-08,7.2621677614627336e-09,3.211059579955101e-09
12,0,5025,0.0,0.2425217989768232,0.7574781765299484,2.4493228337110348e-08,2.6143803941265866e-09,5.574756215199827e-10
13,1,4936,0.0002025931928687196,0.007300386643337977,0.9926995995418288,1.3814833278108417e-08,2.6143803941265866e-09,0.9999999520422539
14,1,5010,0.0001996007984031936,8.042710451460547e-05,0.9999195581541763,1.4741309134962779e-08,1.2653601107572672e-08,8.027648949887753e-10
15,1,4982,0.0002007226013649137,1.1373560629534721e-07,0.9999998614436231,2.4820770599697564e-08,8.069075290514156e-10,2.2299024860799307e-09
16,9,4953,0.0018170805572380376,3.767636320724263e-09,0.9999999402845366,5.594782702307347e-08,2.6143803941265866e-09,2.170676276049648e-08
17,16,5033,0.0031790184780449036,8.719148700355538e-09,0.999999780730759,2.1055009222151858e-07,8.069075290514153e-10,1.2543201484199613e-09
18,22,5093,0.004319654427645789,1.7328247436694775e-08,0.9999971710967609,2.8115749916085283e-06,2.6143803941265866e-09,9.910677715910806e-10
19,4597,4969,0.925135842221775,0.0020863613617608085,0.07306424530744587,0.9248493933307933,3.334668870059421e-10,3.211059579955101e-09
