Generation 0:
Generation 1:(51, 2), (62, 2), (48, 1), (29, 1), (89, 2), (19, 1), (21, 1), (30, 1), (52, 2), (36, 1), (41, 1), (39, 1), (88, 2), (43, 1), (65, 2), (90, 2), (18, 1), (0, 1), (91, 2), (59, 2), (27, 1), (14, 1), (81, 2), (37, 1), (28, 1), (77, 2), (55, 2), (68, 2), (11, 1), (25, 1), (87, 2), (4, 1), (17, 1), (98, 2), (42, 1), (95, 2), (20, 1), (83, 2), (47, 1), (38, 1), 
Generation 2:(83, 2), (52, 2), (89, 2), (88, 2), (35, 1), (22, 1), (86, 2), (97, 2), (62, 2), (37, 1), (24, 1), (70, 2), (27, 1), (10, 1), (11, 1), (25, 1), (46, 1), (36, 1), (44, 1), (77, 2), (2, 1), (48, 1), (42, 1), (98, 2), (34, 1), (19, 1), (23, 1), (8, 1), (51, 2), (60, 2), (59, 2), (12, 1), (5, 1), (53, 2), (54, 2), (76, 2), (4, 1), (55, 2), (61, 2), (18, 1), 
Generation 3:(32, 1), (13, 1), (98, 2), (17, 1), (69, 2), (11, 1), (25, 1), (82, 2), (0, 1), (64, 2), (94, 2), (27, 1), (44, 1), (68, 2), (21, 1), (16, 1), (42, 1), (53, 2), (61, 2), (49, 1), (95, 2), (43, 1), (79, 2), (93, 2), (71, 2), (67, 2), (56, 2), (72, 2), (22, 1), (35, 1), (89, 2), (58, 2), (48, 1), (83, 2), (12, 1), (91, 2), (9, 1), (87, 2), (14, 1), (5, 1), 
Generation 4:(9, 1), (31, 1), (55, 2), (8, 1), (65, 2), (37, 1), (68, 2), (84, 2), (16, 1), (72, 2), (17, 1), (77, 2), (34, 1), (74, 2), (47, 1), (48, 1), (0, 1), (80, 2), (1, 1), (90, 2), (36, 1), (14, 1), (19, 1), (75, 2), (26, 1), (92, 2), (97, 2), (53, 2), (60, 2), (99, 2), (21, 1), (85, 2), (5, 1), (22, 1), (49, 1), (39, 1), (45, 1), (30, 1), (41, 1), (52, 2), 
Generation 5:(50, 1), (34, 1), (92, 2), (5, 1), (35, 1), (14, 1), (87, 2), (80, 2), (4, 1), (74, 2), (62, 2), (63, 2), (22, 1), (25, 1), (17, 1), (36, 1), (7, 1), (81, 2), (15, 1), (42, 1), (71, 2), (88, 2), (94, 2), (21, 1), (72, 2), (49, 1), (57, 2), (10, 1), (55, 2), (38, 1), (89, 2), (84, 2), (23, 1), (53, 2), (75, 2), (93, 2), (3, 1), (29, 1), (33, 1), (16, 1), 
Generation 6:(44, 1), (60, 2), (21, 1), (82, 2), (22, 1), (6, 1), (92, 2), (80, 2), (4, 1), (95, 2), (19, 1), (93, 2), (11, 1), (51, 1), (15, 1), (67, 2), (65, 2), (94, 2), (69, 2), (14, 1), (20, 1), (47, 1), (40, 1), (62, 2), (35, 1), (99, 2), (29, 1), (16, 1), (31, 1), (90, 2), (68, 2), (57, 2), (49, 1), (75, 2), (45, 1), (26, 1), (39, 1), (24, 1), (70, 2), (97, 2), 
Generation 7:(21, 1), (69, 2), (4, 1), (76, 2), (14, 1), (89, 2), (23, 1), (43, 1), (68, 2), (28, 1), (42, 1), (90, 2), (61, 2), (77, 2), (13, 1), (7, 1), (2, 1), (94, 2), (60, 2), (82, 2), (80, 2), (49, 1), (39, 1), (41, 1), (99, 2), (16, 1), (91, 2), (52, 1), (12, 1), (78, 2), (51, 1), (18, 1), (5, 1), (79, 2), (62, 2), (98, 2), (22, 1), (66, 2), (71, 2), (11, 1), 
Generation 8:(83, 2), (42, 1), (55, 1), (53, 1), (89, 2), (40, 1), (39, 1), (63, 2), (23, 1), (48, 1), (82, 2), (90, 2), (95, 2), (81, 2), (96, 2), (85, 2), (66, 2), (14, 1), (97, 2), (87, 2), (73, 2), (58, 2), (28, 1), (2, 1), (98, 2), (7, 1), (74, 2), (46, 1), (84, 2), (79, 2), (75, 2), (70, 2), (5, 1), (78, 2), (38, 1), (59, 2), (27, 1), (88, 2), (19, 1), (72, 2), 
Generation 9:(45, 1), (61, 2), (89, 2), (88, 2), (18, 1), (71, 2), (1, 1), (73, 2), (2, 1), (53, 1), (92, 2), (59, 2), (35, 1), (0, 1), (20, 1), (81, 2), (60, 2), (9, 1), (29, 1), (66, 2), (23, 1), (34, 1), (28, 1), (94, 2), (84, 2), (33, 1), (98, 2), (54, 1), (78, 2), (69, 2), (96, 2), (56, 1), (47, 1), (72, 2), (95, 2), (77, 2), (21, 1), (86, 2), (74, 2), (39, 1), 
Generation 10:(62, 2), (40, 1), (4, 1), (29, 1), (5, 1), (51, 1), (46, 1), (92, 2), (50, 1), (78, 2), (88, 2), (71, 2), (80, 2), (79, 2), (37, 1), (81, 2), (85, 2), (14, 1), (33, 1), (22, 1), (34, 1), (84, 2), (21, 1), (38, 1), (99, 2), (93, 2), (53, 1), (56, 1), (19, 1), (18, 1), (73, 2), (36, 1), (69, 2), (24, 1), (76, 2), (6, 1), (30, 1), (41, 1), (39, 1), (64, 2), 
