state,null_count,total_count,null_fraction
0,96,99,0.9696969696969697
1,94,95,0.9894736842105263
2,97,100,0.97
3,79,87,0.9080459770114943
4,88,92,0.9565217391304348
5,123,126,0.9761904761904762
6,93,97,0.9587628865979382
7,90,93,0.967741935483871
8,100,102,0.9803921568627451
9,90,92,0.9782608695652174
10,94,99,0.9494949494949495
11,101,104,0.9711538461538461
12,87,90,0.9666666666666667
13,107,109,0.981651376146789
14,107,115,0.9304347826086956
15,106,110,0.9636363636363636
16,116,118,0.9830508474576272
17,86,95,0.9052631578947369
18,72,82,0.8780487804878049
19,89,93,0.956989247311828
20,91,97,0.9381443298969072
21,100,104,0.9615384615384616
22,109,112,0.9732142857142857
23,90,94,0.9574468085106383
24,80,85,0.9411764705882353
25,94,98,0.9591836734693877
26,92,95,0.968421052631579
27,105,106,0.9905660377358491
28,108,110,0.9818181818181818
29,99,101,0.9801980198019802
