state,null_count,total_count,null_fraction
0,113,116,0.9741379310344828
1,96,97,0.9896907216494846
2,105,108,0.9722222222222222
3,78,81,0.9629629629629629
4,104,108,0.9629629629629629
5,71,88,0.8068181818181818
6,49,93,0.5268817204301075
7,41,91,0.45054945054945056
8,38,100,0.38
9,46,96,0.4791666666666667
10,51,107,0.4766355140186916
11,74,102,0.7254901960784313
12,90,96,0.9375
13,120,124,0.967741935483871
14,94,97,0.9690721649484536
15,102,108,0.9444444444444444
16,77,81,0.9506172839506173
17,91,99,0.9191919191919192
18,95,103,0.9223300970873787
19,86,90,0.9555555555555556
20,87,93,0.9354838709677419
21,91,94,0.9680851063829787
22,95,104,0.9134615384615384
23,101,105,0.9619047619047619
24,83,95,0.8736842105263158
25,84,86,0.9767441860465116
26,107,110,0.9727272727272728
27,98,101,0.9702970297029703
28,107,108,0.9907407407407407
29,117,119,0.9831932773109243
