state,null_count,total_count,null_fraction
0,125,133,0.9398496240601504
1,103,105,0.9809523809523809
2,98,106,0.9245283018867925
3,95,99,0.9595959595959596
4,106,110,0.9636363636363636
5,94,97,0.9690721649484536
6,105,107,0.9813084112149533
7,78,81,0.9629629629629629
8,100,101,0.9900990099009901
9,99,102,0.9705882352941176
10,92,93,0.989247311827957
11,90,98,0.9183673469387755
12,101,104,0.9711538461538461
13,114,118,0.9661016949152542
14,95,101,0.9405940594059405
15,104,108,0.9629629629629629
16,81,86,0.9418604651162791
17,80,84,0.9523809523809523
18,82,88,0.9318181818181818
19,100,103,0.970873786407767
20,87,89,0.9775280898876404
21,92,98,0.9387755102040817
22,110,114,0.9649122807017544
23,94,98,0.9591836734693877
24,85,87,0.9770114942528736
25,98,101,0.9702970297029703
26,95,98,0.9693877551020408
27,96,100,0.96
28,92,95,0.968421052631579
29,91,96,0.9479166666666666
