state,null_count,total_count,null_fraction
0,64,67,0.9552238805970149
1,79,81,0.9753086419753086
2,114,116,0.9827586206896551
3,78,80,0.975
4,100,103,0.970873786407767
5,104,105,0.9904761904761905
6,100,104,0.9615384615384616
7,95,96,0.9895833333333334
8,112,115,0.9739130434782609
9,104,107,0.9719626168224299
10,107,112,0.9553571428571429
11,100,107,0.9345794392523364
12,85,89,0.9550561797752809
13,95,99,0.9595959595959596
14,83,87,0.9540229885057471
15,97,100,0.97
16,91,92,0.9891304347826086
17,96,101,0.9504950495049505
18,103,104,0.9903846153846154
19,88,95,0.9263157894736842
20,95,100,0.95
21,103,112,0.9196428571428571
22,117,125,0.936
23,102,109,0.9357798165137615
24,96,98,0.9795918367346939
25,100,106,0.9433962264150944
26,105,106,0.9905660377358491
27,77,80,0.9625
28,105,107,0.9813084112149533
29,92,97,0.9484536082474226
