state,null_count,total_count,null_fraction
0,95,100,0.95
1,93,94,0.9893617021276596
2,95,97,0.979381443298969
3,98,104,0.9423076923076923
4,93,97,0.9587628865979382
5,101,105,0.9619047619047619
6,102,105,0.9714285714285714
7,104,109,0.9541284403669725
8,87,89,0.9775280898876404
9,99,104,0.9519230769230769
10,101,104,0.9711538461538461
11,76,79,0.9620253164556962
12,84,90,0.9333333333333333
13,104,107,0.9719626168224299
14,110,115,0.9565217391304348
15,88,95,0.9263157894736842
16,90,103,0.8737864077669902
17,93,101,0.9207920792079208
18,98,104,0.9423076923076923
19,84,90,0.9333333333333333
20,83,87,0.9540229885057471
21,95,98,0.9693877551020408
22,91,95,0.9578947368421052
23,91,92,0.9891304347826086
24,102,107,0.9532710280373832
25,102,104,0.9807692307692307
26,117,119,0.9831932773109243
27,85,88,0.9659090909090909
28,113,116,0.9741379310344828
29,100,102,0.9803921568627451
