state,null_count,total_count,null_fraction
0,113,115,0.9826086956521739
1,96,99,0.9696969696969697
2,109,110,0.990909090909091
3,106,110,0.9636363636363636
4,107,110,0.9727272727272728
5,101,103,0.9805825242718447
6,94,96,0.9791666666666666
7,82,85,0.9647058823529412
8,87,91,0.9560439560439561
9,95,100,0.95
10,92,97,0.9484536082474226
11,103,109,0.944954128440367
12,90,95,0.9473684210526315
13,99,104,0.9519230769230769
14,109,112,0.9732142857142857
15,81,90,0.9
16,86,91,0.945054945054945
17,102,108,0.9444444444444444
18,99,105,0.9428571428571428
19,87,105,0.8285714285714286
20,112,118,0.9491525423728814
21,83,86,0.9651162790697675
22,84,87,0.9655172413793104
23,95,102,0.9313725490196079
24,93,95,0.9789473684210527
25,92,96,0.9583333333333334
26,78,80,0.975
27,107,110,0.9727272727272728
28,96,97,0.9896907216494846
29,88,94,0.9361702127659575
