state,null_count,total_count,null_fraction
0,97,99,0.9797979797979798
1,108,109,0.9908256880733946
2,92,94,0.9787234042553191
3,102,106,0.9622641509433962
4,91,96,0.9479166666666666
5,85,87,0.9770114942528736
6,71,77,0.922077922077922
7,96,99,0.9696969696969697
8,90,93,0.967741935483871
9,95,100,0.95
10,90,94,0.9574468085106383
11,86,107,0.8037383177570093
12,52,96,0.5416666666666666
13,56,115,0.48695652173913045
14,40,104,0.38461538461538464
15,40,85,0.47058823529411764
16,69,109,0.6330275229357798
17,75,106,0.7075471698113207
18,102,114,0.8947368421052632
19,102,108,0.9444444444444444
20,90,93,0.967741935483871
21,85,91,0.9340659340659341
22,87,90,0.9666666666666667
23,109,112,0.9732142857142857
24,99,101,0.9801980198019802
25,109,114,0.956140350877193
26,92,95,0.968421052631579
27,101,102,0.9901960784313726
28,96,97,0.9896907216494846
29,104,107,0.9719626168224299
