state,null_count,total_count,null_fraction
0,132,134,0.9850746268656716
1,146,147,0.9931972789115646
2,158,161,0.9813664596273292
3,148,151,0.9801324503311258
4,142,147,0.9659863945578231
5,153,158,0.9683544303797469
6,144,149,0.9664429530201343
7,157,165,0.9515151515151515
8,144,151,0.9536423841059603
9,152,158,0.9620253164556962
10,128,132,0.9696969696969697
11,147,153,0.9607843137254902
12,154,159,0.9685534591194969
13,139,144,0.9652777777777778
14,152,154,0.987012987012987
15,169,172,0.9825581395348837
16,159,160,0.99375
17,143,145,0.9862068965517241
18,109,111,0.9819819819819819
19,146,149,0.9798657718120806
