state,null_count,total_count,null_fraction
0,143,146,0.9794520547945206
1,140,143,0.9790209790209791
2,140,142,0.9859154929577465
3,127,129,0.9844961240310077
4,135,138,0.9782608695652174
5,159,162,0.9814814814814815
6,144,147,0.9795918367346939
7,154,155,0.9935483870967742
8,137,143,0.958041958041958
9,145,146,0.9931506849315068
10,130,141,0.9219858156028369
11,158,161,0.9813664596273292
12,146,149,0.9798657718120806
13,132,136,0.9705882352941176
14,159,162,0.9814814814814815
15,160,165,0.9696969696969697
16,159,161,0.9875776397515528
17,158,159,0.9937106918238994
18,152,153,0.9934640522875817
19,159,162,0.9814814814814815
