Generation 0:
Generation 1:(25, 1), (3, 1), (11, 1), (44, 1), (4, 1), (35, 1), (42, 1), (37, 1), (12, 1), (34, 1), (29, 1), (20, 1), (0, 1), (19, 1), (13, 1), (40, 1), (27, 1), (30, 1), (16, 1), (36, 1), (75, 2), (95, 2), (97, 2), (99, 2), (62, 2), (85, 2), (67, 2), (84, 2), (60, 2), (53, 2), (72, 2), (70, 2), (82, 2), (51, 2), (96, 2), (63, 2), (68, 2), (89, 2), (71, 2), (50, 2), 
Generation 2:(2, 1), (16, 1), (10, 1), (38, 1), (9, 1), (29, 1), (35, 1), (5, 1), (15, 1), (28, 1), (14, 1), (20, 1), (4, 1), (12, 1), (39, 1), (23, 1), (21, 1), (42, 1), (0, 1), (3, 1), (74, 2), (50, 2), (98, 2), (55, 2), (75, 2), (81, 2), (76, 2), (61, 2), (65, 2), (94, 2), (96, 2), (85, 2), (97, 2), (66, 2), (64, 2), (91, 2), (71, 2), (70, 2), (57, 2), (84, 2), 
Generation 3:(30, 1), (34, 1), (35, 1), (41, 1), (8, 1), (7, 1), (9, 1), (11, 1), (12, 1), (14, 1), (23, 1), (2, 1), (6, 1), (37, 1), (20, 1), (42, 1), (33, 1), (18, 1), (5, 1), (21, 1), (96, 2), (84, 2), (85, 2), (78, 2), (60, 2), (56, 2), (94, 2), (98, 2), (89, 2), (77, 2), (82, 2), (72, 2), (64, 2), (59, 2), (61, 2), (86, 2), (99, 2), (74, 2), (79, 2), (92, 2), 
Generation 4:(41, 1), (35, 1), (18, 1), (40, 1), (16, 1), (45, 1), (7, 1), (12, 1), (25, 1), (19, 1), (36, 1), (26, 1), (14, 1), (29, 1), (43, 1), (27, 1), (31, 1), (24, 1), (39, 1), (38, 1), (99, 2), (63, 2), (60, 2), (89, 2), (86, 2), (69, 2), (53, 2), (66, 2), (94, 2), (59, 2), (74, 2), (57, 2), (76, 2), (79, 2), (65, 2), (85, 2), (84, 2), (71, 2), (82, 2), (96, 2), 
Generation 5:(21, 1), (37, 1), (25, 1), (20, 1), (44, 1), (2, 1), (8, 1), (18, 1), (30, 1), (43, 1), (45, 1), (27, 1), (35, 1), (40, 1), (7, 1), (19, 1), (10, 1), (4, 1), (33, 1), (9, 1), (65, 2), (66, 2), (91, 2), (62, 2), (84, 2), (85, 2), (71, 2), (53, 2), (99, 2), (93, 2), (98, 2), (88, 2), (60, 2), (79, 2), (80, 2), (78, 2), (82, 2), (63, 2), (77, 2), (92, 2), 
Generation 6:(17, 1), (45, 1), (34, 1), (32, 1), (20, 1), (10, 1), (16, 1), (25, 1), (38, 1), (31, 1), (36, 1), (43, 1), (14, 1), (6, 1), (37, 1), (35, 1), (19, 1), (3, 1), (18, 1), (44, 1), (93, 2), (70, 2), (94, 2), (61, 2), (85, 2), (69, 2), (54, 2), (91, 2), (57, 2), (52, 2), (60, 2), (63, 2), (53, 2), (64, 2), (82, 2), (89, 2), (98, 2), (88, 2), (95, 2), (65, 2), 
Generation 7:(11, 1), (37, 1), (9, 1), (20, 1), (43, 1), (32, 1), (16, 1), (34, 1), (29, 1), (25, 1), (17, 1), (2, 1), (31, 1), (27, 1), (35, 1), (38, 1), (15, 1), (40, 1), (21, 1), (33, 1), (68, 2), (71, 2), (97, 2), (75, 2), (62, 2), (91, 2), (57, 2), (74, 2), (76, 2), (61, 2), (93, 2), (59, 2), (65, 2), (85, 2), (55, 2), (92, 2), (88, 2), (58, 2), (86, 2), (81, 2), 
Generation 8:(20, 1), (2, 1), (16, 1), (14, 1), (1, 1), (13, 1), (39, 1), (33, 1), (27, 1), (45, 1), (42, 1), (25, 1), (38, 1), (31, 1), (44, 1), (30, 1), (5, 1), (23, 1), (21, 1), (10, 1), (71, 2), (86, 2), (82, 2), (76, 2), (58, 2), (85, 2), (92, 2), (67, 2), (87, 2), (88, 2), (74, 2), (78, 2), (99, 2), (96, 2), (61, 2), (75, 2), (56, 2), (79, 2), (57, 2), (62, 2), 
Generation 9:(16, 1), (37, 1), (3, 1), (27, 1), (44, 1), (20, 1), (5, 1), (24, 1), (32, 1), (21, 1), (4, 1), (13, 1), (38, 1), (9, 1), (23, 1), (14, 1), (18, 1), (15, 1), (47, 1), (42, 1), (81, 2), (92, 2), (78, 2), (65, 2), (67, 2), (60, 2), (89, 2), (93, 2), (57, 2), (77, 2), (56, 2), (85, 2), (59, 2), (86, 2), (99, 2), (80, 2), (87, 2), (79, 2), (84, 2), (66, 2), 
Generation 10:(49, 1), (10, 1), (44, 1), (6, 1), (9, 1), (31, 1), (21, 1), (32, 1), (36, 1), (45, 1), (7, 1), (24, 1), (47, 1), (26, 1), (35, 1), (27, 1), (43, 1), (8, 1), (17, 1), (2, 1), (64, 2), (90, 2), (72, 2), (89, 2), (91, 2), (71, 2), (73, 2), (99, 2), (63, 2), (77, 2), (65, 2), (85, 2), (92, 2), (96, 2), (68, 2), (82, 2), (70, 2), (57, 2), (83, 2), (75, 2), 
Generation 11:(13, 1), (50, 1), (6, 1), (4, 1), (42, 1), (0, 1), (24, 1), (5, 1), (33, 1), (37, 1), (10, 1), (46, 1), (1, 1), (28, 1), (21, 1), (29, 1), (22, 1), (40, 1), (23, 1), (39, 1), (69, 2), (61, 2), (77, 2), (58, 2), (97, 2), (81, 2), (92, 2), (72, 2), (78, 2), (89, 2), (57, 2), (66, 2), (79, 2), (71, 2), (99, 2), (64, 2), (76, 2), (98, 2), (94, 2), (67, 2), 
Generation 12:(24, 1), (46, 1), (44, 1), (12, 1), (8, 1), (13, 1), (29, 1), (39, 1), (1, 1), (0, 1), (32, 1), (25, 1), (42, 1), (17, 1), (26, 1), (2, 1), (50, 1), (52, 1), (3, 1), (18, 1), (99, 2), (58, 2), (86, 2), (64, 2), (78, 2), (75, 2), (88, 2), (71, 2), (97, 2), (92, 2), (59, 2), (85, 2), (63, 2), (91, 2), (62, 2), (57, 2), (95, 2), (79, 2), (74, 2), (66, 2), 
Generation 13:(25, 1), (26, 1), (16, 1), (21, 1), (30, 1), (50, 1), (14, 1), (11, 1), (46, 1), (2, 1), (36, 1), (19, 1), (53, 1), (27, 1), (35, 1), (48, 1), (43, 1), (38, 1), (49, 1), (10, 1), (72, 2), (97, 2), (59, 2), (69, 2), (67, 2), (95, 2), (70, 2), (98, 2), (77, 2), (85, 2), (88, 2), (60, 2), (93, 2), (82, 2), (81, 2), (94, 2), (79, 2), (62, 2), (61, 2), (83, 2), 
Generation 14:(5, 1), (35, 1), (40, 1), (37, 1), (6, 1), (47, 1), (26, 1), (18, 1), (17, 1), (49, 1), (53, 1), (13, 1), (42, 1), (30, 1), (3, 1), (20, 1), (0, 1), (44, 1), (10, 1), (52, 1), (83, 2), (76, 2), (66, 2), (84, 2), (86, 2), (67, 2), (79, 2), (90, 2), (95, 2), (71, 2), (93, 2), (58, 2), (88, 2), (69, 2), (65, 2), (63, 2), (60, 2), (85, 2), (61, 2), (73, 2), 
Generation 15:(5, 1), (20, 1), (25, 1), (6, 1), (3, 1), (31, 1), (37, 1), (39, 1), (34, 1), (33, 1), (21, 1), (54, 1), (7, 1), (51, 1), (23, 1), (50, 1), (16, 1), (45, 1), (11, 1), (41, 1), (92, 2), (71, 2), (84, 2), (64, 2), (85, 2), (70, 2), (87, 2), (63, 2), (86, 2), (77, 2), (95, 2), (65, 2), (58, 2), (62, 2), (74, 2), (66, 2), (60, 2), (98, 2), (97, 2), (90, 2), 
Generation 16:(41, 1), (11, 1), (23, 1), (48, 1), (49, 1), (29, 1), (50, 1), (30, 1), (2, 1), (39, 1), (44, 1), (7, 1), (24, 1), (20, 1), (19, 1), (42, 1), (27, 1), (1, 1), (4, 1), (16, 1), (65, 2), (78, 2), (84, 2), (75, 2), (96, 2), (93, 2), (85, 2), (86, 2), (92, 2), (73, 2), (72, 2), (88, 2), (70, 2), (62, 2), (68, 2), (98, 2), (67, 2), (71, 2), (94, 2), (83, 2), 
Generation 17:(11, 1), (36, 1), (13, 1), (29, 1), (45, 1), (26, 1), (37, 1), (23, 1), (34, 1), (4, 1), (44, 1), (49, 1), (6, 1), (38, 1), (22, 1), (30, 1), (27, 1), (15, 1), (9, 1), (19, 1), (84, 2), (65, 2), (76, 2), (93, 2), (68, 2), (72, 2), (78, 2), (89, 2), (94, 2), (88, 2), (71, 2), (61, 2), (73, 2), (64, 2), (79, 2), (82, 2), (98, 2), (90, 2), (97, 2), (77, 2), 
