Generation 0:
Generation 1:(93, 2), (31, 1), (34, 1), (86, 2), (16, 1), (6, 1), (63, 2), (83, 2), (99, 2), (3, 1), (19, 1), (25, 1), (42, 1), (1, 1), (74, 2), (67, 2), (64, 2), (11, 1), (24, 1), (69, 2), (87, 2), (90, 2), (40, 1), (62, 2), (79, 2), (59, 2), (29, 1), (96, 2), (30, 1), (77, 2), (8, 1), (48, 1), (47, 1), (70, 2), (65, 2), (35, 1), (4, 1), (45, 1), (18, 1), (92, 2), 
Generation 2:(80, 2), (85, 2), (48, 1), (95, 2), (60, 2), (57, 2), (78, 2), (25, 1), (65, 2), (84, 2), (19, 1), (5, 1), (3, 1), (21, 1), (14, 1), (45, 1), (96, 2), (27, 1), (28, 1), (61, 2), (10, 1), (38, 1), (0, 1), (91, 2), (74, 2), (99, 2), (8, 1), (77, 2), (62, 2), (76, 2), (2, 1), (79, 2), (88, 2), (4, 1), (13, 1), (64, 2), (90, 2), (7, 1), (41, 1), (93, 2), 
Generation 3:(11, 1), (41, 1), (14, 1), (47, 1), (27, 1), (75, 2), (80, 2), (19, 1), (21, 1), (30, 1), (64, 2), (89, 2), (42, 1), (35, 1), (16, 1), (8, 1), (29, 1), (88, 2), (82, 2), (85, 2), (71, 2), (37, 1), (86, 2), (68, 2), (76, 2), (65, 2), (3, 1), (9, 1), (55, 2), (54, 2), (2, 1), (38, 1), (81, 2), (5, 1), (10, 1), (56, 2), (26, 1), (20, 1), (78, 2), (25, 1), 
Generation 4:(17, 1), (56, 2), (68, 2), (47, 1), (93, 2), (91, 2), (75, 2), (74, 2), (83, 2), (15, 1), (78, 2), (62, 2), (40, 1), (89, 2), (45, 1), (66, 2), (86, 2), (5, 1), (13, 1), (42, 1), (90, 2), (80, 2), (69, 2), (54, 2), (3, 1), (16, 1), (96, 2), (71, 2), (79, 2), (48, 1), (98, 2), (0, 1), (19, 1), (87, 2), (36, 1), (22, 1), (72, 2), (58, 2), (31, 1), (73, 2), 
Generation 5:(85, 2), (57, 2), (18, 1), (55, 2), (99, 2), (12, 1), (41, 1), (16, 1), (79, 2), (10, 1), (32, 1), (14, 1), (81, 2), (48, 1), (93, 2), (7, 1), (97, 2), (28, 1), (58, 2), (86, 2), (13, 1), (76, 2), (66, 2), (62, 2), (15, 1), (30, 1), (80, 2), (38, 1), (64, 2), (77, 2), (8, 1), (36, 1), (1, 1), (69, 2), (6, 1), (92, 2), (94, 2), (33, 1), (89, 2), (87, 2), 
Generation 6:(54, 2), (4, 1), (35, 1), (89, 2), (5, 1), (30, 1), (98, 2), (3, 1), (97, 2), (60, 2), (90, 2), (10, 1), (1, 1), (95, 2), (37, 1), (76, 2), (65, 2), (20, 1), (12, 1), (34, 1), (36, 1), (82, 2), (18, 1), (33, 1), (88, 2), (93, 2), (58, 2), (11, 1), (53, 2), (87, 2), (6, 1), (8, 1), (44, 1), (70, 2), (67, 2), (57, 2), (23, 1), (73, 2), (85, 2), (84, 2), 
Generation 7:(63, 2), (18, 1), (4, 1), (53, 2), (86, 2), (12, 1), (30, 1), (21, 1), (11, 1), (10, 1), (69, 2), (72, 2), (36, 1), (67, 2), (93, 2), (14, 1), (97, 2), (81, 2), (57, 2), (15, 1), (6, 1), (68, 2), (95, 2), (23, 1), (39, 1), (76, 2), (32, 1), (16, 1), (19, 1), (60, 2), (59, 2), (54, 2), (90, 2), (94, 2), (61, 2), (99, 2), (92, 2), (1, 1), (91, 2), (29, 1), 
Generation 8:(0, 1), (37, 1), (72, 2), (29, 1), (69, 2), (40, 1), (28, 1), (46, 2), (24, 1), (99, 2), (73, 2), (48, 2), (31, 1), (18, 1), (35, 1), (65, 2), (32, 1), (63, 2), (97, 2), (57, 2), (82, 2), (95, 2), (78, 2), (20, 1), (96, 2), (74, 2), (16, 1), (38, 1), (23, 1), (50, 2), (27, 1), (5, 1), (26, 1), (56, 2), (88, 2), (2, 1), (92, 2), (9, 1), (60, 2), (22, 1), 
Generation 9:(82, 2), (98, 2), (91, 2), (13, 1), (41, 1), (27, 1), (74, 2), (62, 2), (22, 1), (67, 2), (49, 2), (68, 2), (30, 1), (36, 1), (28, 1), (25, 1), (53, 2), (70, 2), (23, 1), (11, 1), (26, 1), (40, 1), (71, 2), (18, 1), (72, 2), (38, 1), (4, 1), (81, 2), (7, 1), (60, 2), (20, 1), (69, 2), (1, 1), (9, 1), (61, 2), (79, 2), (51, 2), (16, 1), (34, 1), (19, 1), 
Generation 10:(40, 1), (81, 2), (7, 1), (94, 2), (13, 1), (17, 1), (61, 2), (91, 2), (1, 1), (16, 1), (62, 2), (33, 1), (30, 1), (87, 2), (6, 1), (15, 1), (20, 1), (56, 2), (83, 2), (26, 1), (49, 2), (90, 2), (64, 2), (88, 2), (68, 2), (42, 1), (43, 1), (65, 2), (51, 2), (28, 1), (2, 1), (4, 1), (63, 2), (50, 2), (59, 2), (38, 1), (74, 2), (93, 2), (95, 2), (39, 1), 
Generation 11:(11, 1), (84, 2), (72, 2), (40, 1), (70, 2), (7, 1), (26, 1), (99, 2), (51, 2), (63, 2), (74, 2), (10, 1), (8, 1), (61, 2), (69, 2), (93, 2), (30, 1), (24, 1), (58, 2), (50, 2), (57, 2), (67, 2), (85, 2), (34, 1), (12, 1), (39, 1), (36, 1), (56, 2), (21, 1), (88, 2), (15, 1), (14, 1), (9, 1), (66, 2), (97, 2), (94, 2), (54, 2), (60, 2), (73, 2), (38, 1), 
Generation 12:(73, 2), (57, 2), (87, 2), (56, 2), (63, 2), (5, 1), (84, 2), (31, 1), (86, 2), (64, 2), (53, 2), (11, 1), (15, 1), (97, 2), (4, 1), (40, 1), (32, 1), (67, 2), (85, 2), (70, 2), (6, 1), (62, 2), (19, 1), (75, 2), (80, 2), (49, 2), (92, 2), (39, 1), (1, 1), (16, 1), (7, 1), (95, 2), (90, 2), (14, 1), (83, 2), (94, 2), (68, 2), (9, 1), (23, 1), (82, 2), 
Generation 13:(76, 2), (4, 1), (70, 2), (77, 2), (23, 1), (8, 1), (10, 1), (53, 2), (80, 2), (63, 2), (39, 1), (40, 1), (66, 2), (19, 1), (98, 2), (78, 2), (56, 2), (96, 2), (87, 2), (97, 2), (69, 2), (15, 1), (24, 1), (73, 2), (52, 2), (62, 2), (13, 1), (35, 1), (3, 1), (67, 2), (17, 1), (47, 2), (14, 1), (86, 2), (74, 2), (88, 2), (79, 2), (91, 2), (26, 1), (61, 2), 
Generation 14:(83, 2), (82, 2), (80, 2), (31, 1), (68, 2), (69, 2), (66, 2), (94, 2), (40, 1), (10, 1), (1, 1), (85, 2), (7, 1), (50, 2), (28, 1), (21, 1), (30, 1), (74, 2), (79, 2), (49, 2), (27, 1), (64, 2), (87, 2), (76, 2), (72, 2), (15, 1), (47, 2), (24, 1), (75, 2), (53, 2), (54, 2), (14, 1), (48, 2), (3, 1), (32, 1), (90, 2), (88, 2), (9, 1), (26, 1), (96, 2), 
Generation 15:(11, 1), (12, 1), (98, 2), (76, 2), (73, 2), (20, 1), (82, 2), (38, 1), (88, 2), (59, 2), (2, 1), (45, 2), (51, 2), (72, 2), (81, 2), (29, 1), (46, 2), (78, 2), (9, 1), (22, 1), (87, 2), (15, 1), (67, 2), (58, 2), (63, 2), (5, 1), (1, 1), (84, 2), (95, 2), (16, 1), (55, 2), (35, 1), (52, 2), (25, 1), (92, 2), (71, 2), (7, 1), (77, 2), (53, 2), (83, 2), 
Generation 16:(94, 2), (13, 1), (68, 2), (18, 1), (46, 2), (76, 2), (26, 1), (56, 2), (27, 1), (1, 1), (42, 2), (2, 1), (52, 2), (50, 2), (82, 2), (54, 2), (23, 1), (75, 2), (60, 2), (4, 1), (78, 2), (92, 2), (10, 1), (15, 1), (32, 1), (34, 1), (58, 2), (90, 2), (61, 2), (0, 1), (6, 1), (80, 2), (64, 2), (45, 2), (19, 1), (33, 1), (16, 1), (31, 1), (93, 2), (47, 2), 
Generation 17:(4, 1), (96, 2), (2, 1), (47, 2), (58, 2), (53, 2), (82, 2), (49, 2), (30, 1), (10, 1), (1, 1), (27, 1), (7, 1), (0, 1), (97, 2), (45, 2), (46, 2), (80, 2), (75, 2), (52, 2), (99, 2), (29, 1), (31, 1), (15, 1), (11, 1), (21, 1), (3, 1), (26, 1), (73, 2), (12, 1), (50, 2), (62, 2), (85, 2), (8, 1), (84, 2), (59, 2), (55, 2), (89, 2), (57, 2), (72, 2), 
Generation 18:(21, 1), (42, 2), (72, 2), (52, 2), (10, 1), (55, 2), (99, 2), (75, 2), (50, 2), (17, 1), (67, 2), (3, 1), (19, 1), (43, 2), (54, 2), (45, 2), (83, 2), (61, 2), (64, 2), (49, 2), (8, 1), (94, 2), (53, 2), (4, 1), (18, 1), (92, 2), (6, 1), (57, 2), (11, 1), (28, 1), (96, 2), (69, 2), (62, 2), (74, 2), (84, 2), (48, 2), (77, 2), (1, 1), (59, 2), (40, 2), 
Generation 19:(7, 1), (12, 1), (31, 2), (48, 2), (94, 2), (16, 1), (65, 2), (67, 2), (35, 2), (21, 1), (51, 2), (20, 1), (24, 1), (84, 2), (6, 1), (91, 2), (69, 2), (70, 2), (5, 1), (63, 2), (71, 2), (57, 2), (2, 1), (38, 2), (53, 2), (82, 2), (85, 2), (74, 2), (68, 2), (22, 1), (92, 2), (10, 1), (96, 2), (52, 2), (15, 1), (54, 2), (78, 2), (47, 2), (79, 2), (4, 1), 
Generation 20:(0, 1), (85, 2), (47, 2), (67, 2), (12, 1), (13, 1), (66, 2), (76, 2), (81, 2), (72, 2), (74, 2), (10, 1), (54, 2), (62, 2), (82, 2), (42, 2), (87, 2), (93, 2), (21, 1), (79, 2), (90, 2), (94, 2), (35, 2), (73, 2), (17, 1), (80, 2), (14, 1), (20, 1), (75, 2), (34, 2), (9, 1), (16, 1), (83, 2), (98, 2), (43, 2), (55, 2), (88, 2), (99, 2), (23, 1), (50, 2), 
Generation 21:(21, 1), (85, 2), (15, 1), (25, 1), (82, 2), (9, 1), (16, 1), (5, 1), (40, 2), (7, 1), (53, 2), (79, 2), (0, 1), (51, 2), (24, 1), (92, 2), (94, 2), (58, 2), (68, 2), (12, 1), (76, 2), (41, 2), (54, 2), (72, 2), (77, 2), (36, 2), (88, 2), (99, 2), (90, 2), (44, 2), (39, 2), (64, 2), (81, 2), (48, 2), (37, 2), (95, 2), (13, 1), (66, 2), (57, 2), (61, 2), 
Generation 22:(14, 1), (46, 2), (51, 2), (42, 2), (48, 2), (31, 2), (80, 2), (84, 2), (88, 2), (90, 2), (43, 2), (44, 2), (8, 1), (34, 2), (96, 2), (33, 2), (98, 2), (95, 2), (41, 2), (82, 2), (39, 2), (93, 2), (25, 1), (69, 2), (91, 2), (19, 1), (63, 2), (85, 2), (52, 2), (86, 2), (57, 2), (47, 2), (55, 2), (9, 1), (20, 1), (74, 2), (83, 2), (97, 2), (53, 2), (71, 2), 
Generation 23:(37, 2), (82, 2), (14, 1), (95, 2), (45, 2), (20, 1), (69, 2), (22, 1), (4, 1), (53, 2), (34, 2), (48, 2), (18, 1), (62, 2), (28, 2), (77, 2), (3, 1), (47, 2), (80, 2), (12, 1), (75, 2), (99, 2), (87, 2), (59, 2), (10, 1), (42, 2), (11, 1), (5, 1), (78, 2), (76, 2), (13, 1), (9, 1), (74, 2), (56, 2), (46, 2), (97, 2), (36, 2), (85, 2), (19, 1), (41, 2), 
Generation 24:(72, 2), (61, 2), (10, 1), (81, 2), (4, 1), (22, 1), (87, 2), (74, 2), (1, 1), (11, 1), (47, 2), (70, 2), (92, 2), (55, 2), (56, 2), (3, 1), (28, 2), (9, 1), (75, 2), (64, 2), (89, 2), (93, 2), (98, 2), (20, 1), (27, 2), (40, 2), (66, 2), (30, 2), (46, 2), (71, 2), (45, 2), (0, 1), (57, 2), (88, 2), (38, 2), (78, 2), (84, 2), (82, 2), (29, 2), (67, 2), 
Generation 25:(70, 2), (18, 1), (5, 1), (42, 2), (9, 1), (8, 1), (93, 2), (14, 1), (0, 1), (3, 1), (44, 2), (39, 2), (27, 2), (88, 2), (75, 2), (12, 1), (80, 2), (19, 1), (62, 2), (30, 2), (43, 2), (52, 2), (67, 2), (94, 2), (57, 2), (33, 2), (86, 2), (65, 2), (90, 2), (55, 2), (46, 2), (51, 2), (79, 2), (73, 2), (13, 1), (4, 1), (89, 2), (45, 2), (28, 2), (69, 2), 
Generation 26:(18, 1), (54, 2), (8, 1), (52, 2), (38, 2), (81, 2), (7, 1), (37, 2), (57, 2), (64, 2), (55, 2), (58, 2), (11, 1), (84, 2), (14, 1), (86, 2), (4, 1), (71, 2), (60, 2), (32, 2), (99, 2), (77, 2), (26, 2), (34, 2), (72, 2), (62, 2), (66, 2), (10, 1), (9, 1), (65, 2), (19, 1), (12, 1), (61, 2), (68, 2), (39, 2), (41, 2), (24, 2), (56, 2), (50, 2), (97, 2), 
Generation 27:(2, 1), (83, 2), (9, 1), (39, 2), (70, 2), (16, 1), (32, 2), (51, 2), (61, 2), (65, 2), (79, 2), (15, 1), (52, 2), (49, 2), (60, 2), (23, 2), (30, 2), (55, 2), (19, 1), (53, 2), (93, 2), (6, 1), (44, 2), (27, 2), (25, 2), (40, 2), (4, 1), (88, 2), (81, 2), (78, 2), (66, 2), (94, 2), (26, 2), (17, 1), (57, 2), (59, 2), (86, 2), (80, 2), (95, 2), (75, 2), 
Generation 28:(92, 2), (55, 2), (80, 2), (14, 1), (59, 2), (79, 2), (49, 2), (95, 2), (86, 2), (9, 1), (71, 2), (13, 1), (62, 2), (29, 2), (78, 2), (85, 2), (2, 1), (52, 2), (44, 2), (6, 1), (17, 1), (1, 1), (54, 2), (34, 2), (77, 2), (58, 2), (69, 2), (57, 2), (83, 2), (25, 2), (98, 2), (28, 2), (5, 1), (38, 2), (94, 2), (40, 2), (73, 2), (64, 2), (75, 2), (65, 2), 
Generation 29:(90, 2), (17, 1), (49, 2), (30, 2), (44, 2), (4, 1), (92, 2), (51, 2), (38, 2), (11, 1), (93, 2), (85, 2), (24, 2), (94, 2), (80, 2), (45, 2), (25, 2), (91, 2), (77, 2), (63, 2), (46, 2), (58, 2), (8, 1), (47, 2), (54, 2), (56, 2), (23, 2), (33, 2), (28, 2), (68, 2), (74, 2), (89, 2), (29, 2), (55, 2), (64, 2), (10, 1), (86, 2), (40, 2), (84, 2), (65, 2), 
Generation 30:(70, 2), (2, 1), (74, 2), (54, 2), (11, 1), (63, 2), (26, 2), (32, 2), (92, 2), (5, 1), (8, 1), (97, 2), (56, 2), (57, 2), (20, 2), (86, 2), (45, 2), (36, 2), (29, 2), (14, 1), (75, 2), (49, 2), (38, 2), (64, 2), (3, 1), (73, 2), (21, 2), (51, 2), (6, 1), (48, 2), (89, 2), (53, 2), (58, 2), (46, 2), (83, 2), (94, 2), (28, 2), (87, 2), (91, 2), (95, 2), 
Generation 31:(50, 2), (28, 2), (57, 2), (52, 2), (24, 2), (9, 1), (85, 2), (96, 2), (48, 2), (84, 2), (19, 2), (37, 2), (46, 2), (71, 2), (22, 2), (74, 2), (34, 2), (69, 2), (68, 2), (1, 1), (23, 2), (0, 1), (39, 2), (12, 1), (99, 2), (10, 1), (78, 2), (75, 2), (29, 2), (90, 2), (3, 1), (53, 2), (77, 2), (25, 2), (36, 2), (47, 2), (62, 2), (44, 2), (59, 2), (5, 1), 
Generation 32:(45, 2), (81, 2), (3, 1), (6, 1), (75, 2), (46, 2), (97, 2), (53, 2), (18, 2), (33, 2), (84, 2), (39, 2), (56, 2), (4, 1), (11, 1), (27, 2), (67, 2), (88, 2), (69, 2), (16, 2), (61, 2), (30, 2), (36, 2), (71, 2), (62, 2), (64, 2), (28, 2), (73, 2), (40, 2), (83, 2), (26, 2), (19, 2), (42, 2), (24, 2), (57, 2), (68, 2), (44, 2), (9, 1), (77, 2), (43, 2), 
Generation 33:(35, 2), (76, 2), (99, 2), (89, 2), (78, 2), (63, 2), (87, 2), (68, 2), (92, 2), (72, 2), (57, 2), (21, 2), (58, 2), (2, 1), (59, 2), (98, 2), (91, 2), (73, 2), (38, 2), (85, 2), (31, 2), (69, 2), (8, 1), (75, 2), (49, 2), (97, 2), (46, 2), (22, 2), (7, 1), (34, 2), (77, 2), (37, 2), (28, 2), (83, 2), (53, 2), (30, 2), (52, 2), (88, 2), (50, 2), (5, 1), 
Generation 34:(13, 2), (2, 1), (16, 2), (62, 2), (55, 2), (24, 2), (5, 1), (17, 2), (59, 2), (39, 2), (56, 2), (60, 2), (88, 2), (27, 2), (33, 2), (65, 2), (49, 2), (95, 2), (8, 1), (18, 2), (70, 2), (26, 2), (14, 2), (78, 2), (46, 2), (9, 1), (74, 2), (61, 2), (98, 2), (37, 2), (99, 2), (93, 2), (28, 2), (45, 2), (72, 2), (87, 2), (47, 2), (75, 2), (68, 2), (76, 2), 
Generation 35:(63, 2), (77, 2), (35, 2), (51, 2), (17, 2), (54, 2), (67, 2), (52, 2), (38, 2), (85, 2), (36, 2), (60, 2), (89, 2), (4, 1), (8, 1), (29, 2), (16, 2), (3, 1), (55, 2), (25, 2), (34, 2), (64, 2), (15, 2), (79, 2), (39, 2), (26, 2), (86, 2), (13, 2), (50, 2), (83, 2), (30, 2), (62, 2), (42, 2), (47, 2), (90, 2), (95, 2), (75, 2), (57, 2), (33, 2), (43, 2), 
Generation 36:(55, 2), (89, 2), (60, 2), (38, 2), (10, 2), (17, 2), (5, 1), (79, 2), (67, 2), (32, 2), (87, 2), (78, 2), (81, 2), (24, 2), (28, 2), (86, 2), (75, 2), (47, 2), (88, 2), (92, 2), (30, 2), (31, 2), (99, 2), (49, 2), (51, 2), (12, 2), (59, 2), (34, 2), (4, 1), (57, 2), (3, 1), (62, 2), (13, 2), (82, 2), (93, 2), (73, 2), (2, 1), (71, 2), (83, 2), (7, 1), 
Generation 37:(42, 2), (19, 2), (26, 2), (79, 2), (52, 2), (58, 2), (83, 2), (9, 2), (93, 2), (72, 2), (92, 2), (60, 2), (47, 2), (4, 1), (80, 2), (34, 2), (40, 2), (59, 2), (7, 1), (3, 1), (86, 2), (67, 2), (6, 1), (74, 2), (39, 2), (97, 2), (99, 2), (53, 2), (12, 2), (14, 2), (28, 2), (77, 2), (22, 2), (27, 2), (29, 2), (51, 2), (41, 2), (57, 2), (89, 2), (44, 2), 
Generation 38:(63, 2), (5, 1), (61, 2), (53, 2), (39, 2), (57, 2), (27, 2), (91, 2), (28, 2), (70, 2), (43, 2), (21, 2), (40, 2), (11, 2), (86, 2), (82, 2), (77, 2), (78, 2), (14, 2), (4, 1), (42, 2), (48, 2), (67, 2), (72, 2), (97, 2), (41, 2), (58, 2), (3, 1), (68, 2), (6, 1), (96, 2), (9, 2), (38, 2), (85, 2), (75, 2), (35, 2), (24, 2), (19, 2), (87, 2), (65, 2), 
Generation 39:(80, 2), (54, 2), (4, 1), (87, 2), (67, 2), (34, 2), (25, 2), (96, 2), (62, 2), (15, 2), (42, 2), (16, 2), (60, 2), (46, 2), (53, 2), (82, 2), (1, 2), (52, 2), (73, 2), (49, 2), (92, 2), (32, 2), (47, 2), (89, 2), (65, 2), (59, 2), (18, 2), (5, 1), (44, 2), (33, 2), (78, 2), (77, 2), (91, 2), (90, 2), (45, 2), (84, 2), (48, 2), (81, 2), (93, 2), (99, 2), 
Generation 40:(10, 2), (74, 2), (44, 2), (84, 2), (23, 2), (60, 2), (83, 2), (64, 2), (76, 2), (11, 2), (70, 2), (88, 2), (33, 2), (52, 2), (42, 2), (25, 2), (67, 2), (58, 2), (54, 2), (93, 2), (20, 2), (71, 2), (36, 2), (85, 2), (75, 2), (34, 2), (82, 2), (31, 2), (12, 2), (38, 2), (26, 2), (80, 2), (55, 2), (41, 2), (46, 2), (2, 2), (9, 2), (57, 2), (50, 2), (22, 2), 
Generation 41:(62, 1), (0, 1), (46, 1), (57, 1), (11, 1), (88, 1), (19, 1), (55, 1), (44, 1), (28, 1), (70, 1), (33, 1), (91, 1), (1, 1), (83, 1), (90, 1), (42, 1), (20, 1), (58, 1), (56, 1), (52, 1), (5, 1), (4, 1), (89, 1), (50, 1), (31, 1), (41, 1), (81, 1), (80, 1), (29, 1), (13, 1), (45, 1), (43, 1), (75, 1), (92, 1), (82, 1), (96, 1), (47, 1), (24, 1), (7, 1), 
