state,null_count,total_count,null_fraction
0,94,96,0.9791666666666666
1,114,117,0.9743589743589743
2,86,89,0.9662921348314607
3,81,83,0.9759036144578314
4,88,92,0.9565217391304348
5,96,98,0.9795918367346939
6,99,103,0.9611650485436893
7,92,97,0.9484536082474226
8,84,91,0.9230769230769231
9,86,91,0.945054945054945
10,18,96,0.1875
11,3,89,0.033707865168539325
12,2,121,0.01652892561983471
13,1,109,0.009174311926605505
14,0,105,0.0
15,1,103,0.009708737864077669
16,7,105,0.06666666666666667
17,21,125,0.168
18,37,101,0.36633663366336633
19,98,107,0.9158878504672897
20,88,94,0.9361702127659575
21,106,109,0.9724770642201835
22,89,95,0.9368421052631579
23,78,82,0.9512195121951219
24,87,91,0.9560439560439561
25,94,97,0.9690721649484536
26,103,109,0.944954128440367
27,90,91,0.989010989010989
28,107,109,0.981651376146789
29,102,105,0.9714285714285714
