state,null_count,total_count,null_fraction
0,108,110,0.9818181818181818
1,101,103,0.9805825242718447
2,90,96,0.9375
3,90,94,0.9574468085106383
4,105,107,0.9813084112149533
5,91,94,0.9680851063829787
6,83,86,0.9651162790697675
7,79,80,0.9875
8,85,94,0.9042553191489362
9,115,120,0.9583333333333334
10,101,104,0.9711538461538461
11,93,102,0.9117647058823529
12,95,99,0.9595959595959596
13,62,84,0.7380952380952381
14,15,120,0.125
15,2,90,0.022222222222222223
16,5,117,0.042735042735042736
17,7,107,0.06542056074766354
18,3,90,0.03333333333333333
19,15,105,0.14285714285714285
20,16,97,0.16494845360824742
21,34,111,0.3063063063063063
22,40,100,0.4
23,112,116,0.9655172413793104
24,84,87,0.9655172413793104
25,96,98,0.9795918367346939
26,91,93,0.978494623655914
27,97,98,0.9897959183673469
28,97,101,0.9603960396039604
29,94,97,0.9690721649484536
