state,null_count,total_count,null_fraction
0,4897,4913,0.9967433340118054
1,4995,5007,0.9976033553025764
2,4954,4973,0.9961793685903881
3,5096,5114,0.9964802502933124
4,5030,5048,0.9964342313787639
5,4977,4994,0.9965959150981177
6,4989,5013,0.995212447636146
7,4884,4919,0.9928847326692417
8,5036,5061,0.9950602647698084
9,5016,5041,0.9950406665344178
10,4982,5003,0.9958025184889067
11,4972,4992,0.9959935897435898
12,4874,4893,0.9961169016963008
13,5007,5026,0.9962196577795464
14,4935,4952,0.9965670436187399
15,4999,5014,0.9970083765456721
16,4841,4857,0.9967057854642783
17,5055,5072,0.9966482649842271
18,4975,4988,0.9973937449879712
19,5105,5120,0.9970703125
