state,null_count,total_count,null_fraction
0,4987,5005,0.9964035964035964
1,4889,4902,0.9973480212158303
2,5003,5019,0.9968121139669257
3,5054,5071,0.9966476040228752
4,4945,4965,0.9959718026183283
5,4981,5007,0.9948072698222489
6,4950,4979,0.9941755372564772
7,4925,4956,0.9937449556093624
8,4898,4923,0.994921795653057
9,4886,4910,0.9951120162932791
10,5019,5043,0.9952409280190363
11,4902,4926,0.9951278928136419
12,5015,5043,0.9944477493555424
13,5079,5097,0.9964685108887581
14,4983,5013,0.9940155595451825
15,5081,5101,0.996079200156832
16,4896,4912,0.996742671009772
17,4988,5004,0.996802557953637
18,5051,5063,0.9976298637171638
19,5046,5061,0.997036158861885
