state,null_count,total_count,null_fraction
0,5006,5024,0.9964171974522293
1,4889,4901,0.9975515200979392
2,5022,5035,0.9974180734856007
3,4985,4997,0.9975985591354813
4,4938,4950,0.9975757575757576
5,4956,4974,0.9963811821471653
6,5070,5085,0.9970501474926253
7,5143,5162,0.9963192561022859
8,5058,5080,0.9956692913385827
9,5010,5034,0.9952324195470799
10,5021,5047,0.9948484248068159
11,5010,5031,0.9958258795468098
12,4821,4852,0.9936108821104699
13,4995,5019,0.9952181709503886
14,4958,4983,0.9949829420028096
15,5018,5040,0.9956349206349207
16,4923,4941,0.9963570127504554
17,4950,4963,0.9973806165625629
18,4919,4934,0.996959870287799
19,4931,4948,0.9965642683912692
