state,null_count,total_count,null_fraction
0,5092,5115,0.9955034213098729
1,5060,5067,0.998618511940004
2,4862,4873,0.9977426636568849
3,4992,5010,0.9964071856287425
4,4858,4876,0.9963084495488105
5,4964,4985,0.9957873620862587
6,5128,5148,0.9961149961149961
7,4905,4927,0.9955348081997158
8,5044,5067,0.9954608249457273
9,5027,5055,0.9944609297725024
10,4971,4996,0.994995996797438
11,5063,5083,0.9960653157584104
12,4974,4996,0.9955964771817454
13,4923,4949,0.9947464134168519
14,5019,5039,0.9960309585235165
15,4914,4931,0.9965524234435206
16,4980,5000,0.996
17,4988,5000,0.9976
18,4896,4905,0.998165137614679
19,4963,4978,0.9969867416633186
